fold	elimination	n features	NMI score	Accuracy score	ROC AUC score
3	0.2	877	0.8310806171268879	0.975	0.9749373433583961
3	0.2	701	0.6641015990193396	0.9375	0.9379699248120301
3	0.2	560	0.7136030428840436	0.95	0.95
3	0.2	448	0.599475569199749	0.9125	0.9072910119421747
3	0.2	358	0.7109345830338248	0.95	0.9492063492063493
3	0.2	286	0.6591367409540075	0.9375	0.9341432225063938
3	0.2	228	0.6780232380036869	0.9375	0.9406565656565657
3	0.2	182	0.72205507332951	0.95	0.951602765556254
3	0.2	145	0.8558231715573832	0.975	0.975609756097561
3	0.2	116	0.6177855880564641	0.925	0.9217171717171716
3	0.2	92	0.5303577691815439	0.9	0.899749373433584
3	0.2	73	0.5394231014525905	0.8875	0.8983375959079285
3	0.2	58	0.30537884867982684	0.8125	0.8042929292929293
3	0.2	46	0.3351356917083997	0.825	0.8220551378446116
3	0.2	36	0.18949631252336155	0.75	0.7506265664160401
3	0.2	28	0.05305172109496072	0.65	0.6362407031778229
3	0.2	22	0.07146881201952282	0.6375	0.641963727329581
3	0.2	17	0.00822743819371939	0.55	0.5522201375859912
3	0.2	13	0.0430170422728687	0.625	0.6212121212121212
3	0.2	10	0.054030811728079095	0.625	0.6285178236397748
3	0.2	8	0.016023555121455695	0.575	0.5751128304319794
3	0.2	6	0.01863784110616556	0.575	0.5805626598465473
3	0.2	4	0.029151042271877096	0.6	0.6
3	0.2	3	0.015470140694692625	0.575	0.5732323232323232
3	0.2	2	0.012133744998617482	0.5625	0.5647391577624137
3	0.2	1	0.0916143452113681	0.675	0.6749999999999999
4	0.2	20000	0.3376155462133005	0.825	0.825
4	0.2	16000	0.4218083280595186	0.8625	0.8626649905719673
4	0.2	12800	0.33281752660786	0.825	0.8255159474671669
4	0.2	10240	0.39167360662207334	0.85	0.851037083595223
4	0.2	8192	0.7223612547704223	0.95	0.9500000000000002
4	0.2	6553	0.4998777831168896	0.8875	0.8875
4	0.2	5242	0.6211945798813956	0.925	0.9255784865540962
4	0.2	4193	0.6374218773065913	0.925	0.9223057644110276
4	0.2	3354	0.6156884558735028	0.925	0.925
4	0.2	2683	0.6618922357187826	0.9375	0.9356060606060607
4	0.2	2146	0.6155516794407244	0.925	0.924953095684803
4	0.2	1716	0.3906934675817477	0.85	0.8483709273182957
4	0.2	1372	0.602855099854287	0.9125	0.9125
4	0.2	1097	0.5342588628972417	0.9	0.9013199245757386
4	0.2	877	0.5458460172303379	0.9	0.9047619047619048
4	0.2	701	0.6210598372241933	0.925	0.9249999999999999
